"03/10/2026","-202.48","*","","BUSINESS TO BUSINESS ACH Pedernales_Elec ELEC_BILL 3001762373 W B GROUP,LLC"
"03/09/2026","-9.73","*","","PURCHASE AUTHORIZED ON 03/08 WIMBERLEY ACE WIMBERLEY TX S306067601886754 CARD 7209"
"03/09/2026","-392.21","*","","RECURRING PAYMENT AUTHORIZED ON 03/07 ALLSTATE *PAYMN 800-255-7828 IL S356066429839393 CARD 7209"
"03/06/2026","-58.37","*","","PURCHASE AUTHORIZED ON 03/06 LOWE'S #159 SAN MARCOS TX P346065649920731 CARD 7209"
"03/06/2026","-4.11","*","","PURCHASE AUTHORIZED ON 03/05 AMAZON MKTPL*BP2C9 Amzn.com/bill WA S386064740997116 CARD 7209"
"03/06/2026","500.00","*","","ZELLE FROM ALEJANDRO VILLARREAL ON 03/06 REF # CTIZCSCGG9AG"
"03/05/2026","500.00","*","","ZELLE FROM ALEJANDRO VILLARREAL ON 03/05 REF # CTIJKS6WWPB2"
"03/04/2026","500.00","*","","ZELLE FROM ALEJANDRO VILLARREAL ON 03/04 REF # CTIVAAZYIBXQ"
"03/02/2026","-15.16","*","","PURCHASE AUTHORIZED ON 02/28 AMAZON MKTPL*B96QA Amzn.com/bill WA S386060029056317 CARD 7209"
"03/02/2026","-24.66","*","","PURCHASE AUTHORIZED ON 02/28 AMAZON MKTPL*B93GR Amzn.com/bill WA S306059605343143 CARD 7209"
"02/25/2026","-1200.00","*","","WITHDRAWAL MADE IN A BRANCH/STORE"
"02/24/2026","-17.30","*","","PURCHASE AUTHORIZED ON 02/23 WIMBERLEY ACE WIMBERLEY TX S586054577044703 CARD 7209"
"02/18/2026","-50.00","*","","BILL PAY Water-COMWSC RECURRING 38 ON 02-18"
"02/10/2026","-144.75","*","","BUSINESS TO BUSINESS ACH Pedernales_Elec ELEC_BILL 3001762373 W B GROUP,LLC"
"02/02/2026","1500.00","*","","ZELLE FROM NICOLA ROJAS ON 02/02 REF # BBT367105758"
"01/23/2026","-2730.86","*","104","CHECK # 104"
"01/21/2026","-50.00","*","","BILL PAY Water-COMWSC RECURRING 38 ON 01-21"
"01/14/2026","-100.00","*","103","CHECK # 103"
"01/12/2026","-133.57","*","","BUSINESS TO BUSINESS ACH Pedernales_Elec ELEC_BILL 3001762373 W B GROUP,LLC"
"01/12/2026","-96.50","*","","ALLSTATE INS CO INS PREM JAN 26 000000438532211 ROJAS"
"01/08/2026","-112.85","*","","RECURRING PAYMENT AUTHORIZED ON 01/07 TEXAS DISPOSAL SYS 800-3758375 TX S466007745551670 CARD 7209"
"01/05/2026","1500.00","*","","ZELLE FROM NICOLA ROJAS ON 01/03 REF # BBT360555645"
